Nama Pantai,Provinsi,Rating Angka,Predikat,Link Google Maps,Latitude,Longitude
Pantai Pasir Putih Lhok Mee,Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Pantai+Pasir+Putih+Lhok+Mee/data=!4m7!3m6!1s0x30404faea56f841f:0x969732c6861cc322!8m2!3d5.6138203!4d95.556308!16s%2Fg%2F11qzvvs71y!19sChIJH4Rvpa5PQDARIsMchsYyl5Y?authuser=0&hl=en&rclk=1,5.6138203,95.556308
Pantai Keremak Aceh Tamiang,Aceh,5.0,sangat bagus,https://www.google.com/maps/place/Pantai+Keremak+Aceh+Tamiang/data=!4m7!3m6!1s0x3037a2b6b7c02573:0xea7ba858886cd455!8m2!3d4.5102352!4d98.1508387!16s%2Fg%2F11hcfn2bf5!19sChIJcyXAt7aiNzARVdRsiFioe-o?authuser=0&hl=en&rclk=1,4.5102352,98.1508387
Pantai Muara Tanjung,Aceh,3.9,bagus,https://www.google.com/maps/place/Pantai+Muara+Tanjung/data=!4m7!3m6!1s0x3037906285658f6b:0xb9188851eedca4fa!8m2!3d4.5304422!4d98.0022486!16s%2Fg%2F11hbql6krw!19sChIJa49lhWKQNzAR-qTc7lGIGLk?authuser=0&hl=en&rclk=1,4.5304422,98.0022486
Pantai Blang Kijue,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Blang+Kijue/data=!4m7!3m6!1s0x3040b2bbc507ff4d:0x8179feb89b4120e7!8m2!3d5.2094406!4d96.3938921!16s%2Fg%2F11c2lh1d3r!19sChIJTf8HxbuyQDAR5yBBm7j-eYE?authuser=0&hl=en&rclk=1,5.2094406,96.3938921
Pantai Ujong Blang Bireuen,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Ujong+Blang+Bireuen/data=!4m7!3m6!1s0x304743acb861693f:0xc6db1509780ac9d!8m2!3d5.2390246!4d96.7057703!16s%2Fg%2F11b6s2snb_!19sChIJP2lhuKxDRzARnayAl1CxbQw?authuser=0&hl=en&rclk=1,5.2390246,96.7057703
Teluk Jantang Beach,Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Teluk+Jantang+Beach/data=!4m7!3m6!1s0x304010bf8a86b4ed:0x15df23eb4b06038c!8m2!3d5.2687475!4d95.247531!16s%2Fg%2F11fzyy7cd7!19sChIJ7bSGir8QQDARjAMGS-sj3xU?authuser=0&hl=en&rclk=1,5.2687475,95.247531
Pantai Baro Peukan Bada Aceh Besar,Aceh,4.7,sangat bagus,https://www.google.com/maps/place/Pantai+Baro+Peukan+Bada+Aceh+Besar/data=!4m7!3m6!1s0x30403182b74158e7:0x82ebfe5247009a03!8m2!3d5.5497549!4d95.2742311!16s%2Fg%2F11fnr5bb87!19sChIJ51hBt4IxQDARA5oAR1L-64I?authuser=0&hl=en&rclk=1,5.5497549,95.2742311
WISATA GREEN BEACH Paya Dua Peudawa Aceh timur,Aceh,4.1,sangat bagus,https://www.google.com/maps/place/WISATA+GREEN+BEACH+Paya+Dua+Peudawa+Aceh+timur/data=!4m7!3m6!1s0x3037f913398474cf:0x667b10eaf8674292!8m2!3d4.9032038!4d97.8499455!16s%2Fg%2F11g6xbc88l!19sChIJz3SEORP5NzARkkJn-OoQe2Y?authuser=0&hl=en&rclk=1,4.9032038,97.8499455
PANTAI KUALA PAREK,Aceh,4.5,sangat bagus,https://www.google.com/maps/place/PANTAI+KUALA+PAREK/data=!4m7!3m6!1s0x3037ed4d82bd2dbd:0x13c87521035b3545!8m2!3d4.671696!4d97.975915!16s%2Fg%2F11cnxst0zd!19sChIJvS29gk3tNzARRTVbAyF1yBM?authuser=0&hl=en&rclk=1,4.671696,97.975915
Pantai Kuala Aceh,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Kuala+Aceh/data=!4m7!3m6!1s0x304037d070d222d7:0x6cab465bc1a57de4!8m2!3d5.5829649!4d95.3133079!16s%2Fg%2F11qn51dxdk!19sChIJ1yLScNA3QDAR5H2lwVtGq2w?authuser=0&hl=en&rclk=1,5.5829649,95.3133079
Pantai Ujung Batu,Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Pantai+Ujung+Batu/data=!4m7!3m6!1s0x303a51661d4cbd93:0x9877ed174caf5902!8m2!3d3.2186802!4d97.2602526!16s%2Fg%2F11m9cl355c!19sChIJk71MHWZROjARAlmvTBftd5g?authuser=0&hl=en&rclk=1,3.2186802,97.2602526
Pondok Pantai Biru,Aceh,4.0,bagus,https://www.google.com/maps/place/Pondok+Pantai+Biru/data=!4m7!3m6!1s0x30479d21a80e1d21:0x27ffa42788606f3f!8m2!3d5.2046342!4d97.132614!16s%2Fg%2F11f120lr7c!19sChIJIR0OqCGdRzARP29giCek_yc?authuser=0&hl=en&rclk=1,5.2046342,97.132614
Pantai Lhok Rukam,Aceh,4.7,sangat bagus,https://www.google.com/maps/place/Pantai+Lhok+Rukam/data=!4m7!3m6!1s0x303a4f7ff142ce5d:0x7c8e9e54201c413e!8m2!3d3.232949!4d97.2348957!16s%2Fg%2F11mc6w3mpq!19sChIJXc5C8X9POjARPkEcIFSejnw?authuser=0&hl=en&rclk=1,3.232949,97.2348957
PANTAI KETAPANG,Aceh,3.7,bagus,https://www.google.com/maps/place/PANTAI+KETAPANG/data=!4m7!3m6!1s0x3037a2c56ca5a657:0xaec57a0dc75cbc01!8m2!3d4.5049459!4d98.1648956!16s%2Fg%2F11gbxbp7km!19sChIJV6albMWiNzARAbxcxw16xa4?authuser=0&hl=en&rclk=1,4.5049459,98.1648956
